CIN,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members
U99999KA1946PLC001072,CCI LIMITED,Active,RoC-Bangalore,1072,Company limited by Shares,Non-govt company,Public,21 March 1946,"76 years, 0 month, 3 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1962PLC001449,BANGALORE TURF CLUB LIMITED,Active,RoC-Bangalore,1449,Company Limited by Guarantee,Non-govt company,Public,31 March 1962,"59 years, 11 month, 24 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",342
U99999KA1963PTC001505,CANARA MINERALS PRIVATE LIMITED,Active,RoC-Bangalore,1505,Company limited by Shares,Non-govt company,Private,22 July 1963,"58 years, 8 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1970PTC001856,HYDROMATIK BELGAUM PRIVATE LIMITED,Active,RoC-Bangalore,1856,Company limited by Shares,Non-govt company,Private,22 January 1970,"52 years, 2 month, 2 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",7
U99999KA1975PTC002753,MYSORE THERMO ELECTRIC PRIVATE LIMITED,Active,RoC-Bangalore,2753,Company limited by Shares,Non-govt company,Private,17 March 1975,"47 years, 0 month, 7 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1985PTC062109,CANARA LIGHTING INDUSTRIES PRIVATE LIMITED,Active,RoC-Bangalore,62109,Company limited by Shares,Non-govt company,Private,29 October 1985,"36 years, 4 month, 26 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1987PTC008704,NAGADI CONSULTANTS PRIVATE LIMITED,Active,RoC-Bangalore,8704,Company limited by Shares,Non-govt company,Private,29 October 1987,"34 years, 4 month, 26 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1988PTC009317,GARDEN CITY FASHIONS PRIVATE LIMITED,Active,RoC-Bangalore,9317,Company limited by Shares,Non-govt company,Private,27 July 1988,"33 years, 7 month, 28 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1994PLC015101,JAGATJYOTHI FINANCE LIMITED,Active,RoC-Bangalore,15101,Company limited by Shares,Non-govt company,Public,04 January 1994,"28 years, 2 month, 20 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1994PTC015386,BANGALORE TRANSFORMERS PRIVATE LIMITED,Active,RoC-Bangalore,15386,Company limited by Shares,Non-govt company,Private,21 March 1994,"28 years, 0 month, 3 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1995PLC018766,SILVERLINE BUSINESS AND TECHPARKS LIMITED,Converted to LLP,RoC-Bangalore,18766,Company limited by Shares,Non-govt company,Public,18 September 1995,"26 years, 6 month, 6 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1995PTC018111,INDUS UTH HF MIXING SYSTEMS PRIVATE LIMITED,Active,RoC-Bangalore,18111,Company limited by Shares,Non-govt company,Private,23 June 1995,"26 years, 9 month, 1 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1995PTC018529,TOYOTA INDUSTRIES ENGINE INDIA PRIVATE LIMITED,Active,RoC-Bangalore,18529,Company limited by Shares,Non-govt company,Private,14 August 1995,"26 years, 7 month, 10 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1995PTC018637,INFANTRY HOLDINGS PRIVATE LIMITED,Active,RoC-Bangalore,18637,Company limited by Shares,Non-govt company,Private,25 August 1995,"26 years, 6 month, 30 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",5
U99999KA1995PTC040168,CHIRAYU COMMERCIAL PRIVATE LIMITED,Active,RoC-Bangalore,40168,Company limited by Shares,Non-govt company,Private,16 February 1995,"27 years, 1 month, 8 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
U99999KA1995PTC052040,CONCENTRIX SERVICES INDIA PRIVATE LIMITED,Active,RoC-Bangalore,52040,Company limited by Shares,Non-govt company,Private,09 March 1995,"27 years, 0 month, 15 days","EXTRA TERRITORIAL ORGANIZATIONS AND BODIES
Click here to see other companies involved in same activity.",-
